"","Cycle","Cluster_ID","AvgDbh","AvgCrownDiameter","AvgCrownHeight","AvgCrownArea","SpeciesCount","AvgTreeHeight","TreeCount","J","X","Y"
"1",2,77652,12.4253521126761,2.44356435643564,5.72722772277228,5.24179770956954,15,7.16901408450704,142,0.795764383554905,-92.4333886666667,15.5889350370371
"2",2,28451,11.0095238095238,2.76666666666667,0,6.45711,2,2.81904761904762,21,0.428027218706369,-99.5467775555555,26.0729162592593
"3",2,55242,17.2393442622951,3.63275862068966,3.48793103448276,12.1439659445808,6,6.28524590163934,61,0.66763944904364,-104.218712629629,20.4035462222222
"4",2,20795,10.0875,3.75952380952381,4.54878048780488,11.7937141055997,8,4.58571428571429,56,0.721201723320385,-108.957083296296,27.3909073333333
"5",2,53236,12.1012658227848,3.20281690140845,3.87746478873239,8.29601097247855,4,6.80126582278481,79,0.624422138550208,-98.7754626296296,20.7912776666667
"6",2,42257,13.6778947368421,2.77215189873418,3.99873417721519,5.72428570847073,7,4.93052631578947,95,0.741328400270692,-103.579314333333,23.3159998888889
"7",2,27013,0,0,0,0,0,0,0,NA,-101.453185037037,26.3628888518519
"8",2,13359,15.9945652173913,2.38488372093023,4.27790697674419,5.21223475563812,9,6.48152173913043,92,0.835899837711591,-108.212148222222,28.779231
"9",2,41689,16.2,4.5,2.3,15.90435,1,4.5,1,0.918295834054489,-103.285564481481,23.4547221481481
"10",2,75113,17.5111111111111,6.16,4.24,21.5085085494575,3,3.82222222222222,9,0.911533991136831,-98.9629720740741,16.7238699629629
"11",2,33029,0,0,0,0,0,0,0,NA,-100.410129518519,25.2676290740741
"12",2,16753,13.4281690140845,2.87714285714286,3.06714285714286,9.22394183628473,9,4.61267605633803,71,0.895558874335632,-108.639916333333,28.1289718888889
"13",2,74242,11.6607142857143,2.294,4.096,6.79735337959454,8,6.21071428571429,28,0.815910223877962,-92.7789068148148,16.6946940740741
"14",2,49360,12.4941860465116,2.34920634920635,4.77873015873016,5.46565901538462,9,5.71627906976744,86,0.787098725185974,-87.8355738148148,20.9424625925926
"15",2,53068,11.2291304347826,1.7057268722467,4.92584513274336,3.01552263157895,28,9.68347826086957,230,0.753720711313679,-88.7722587037037,20.2979719629629
"16",2,70933,11.7066666666667,3.30769230769231,2.74615384615385,7.81341711682876,8,4.23666666666667,30,0.823459502684996,-98.9436848148148,17.6263699629629
"17",2,17036,12.5676767676768,2.509375,2.76458333333333,5.5557584606628,3,3.93939393939394,99,0.552224494456799,-107.210759296296,28.1361571851852
"18",2,14746,12.86,3.82,0,11.6883228,4,3.12,5,0.962961064794514,-110.854370444445,28.3850644444445
"19",2,2999,18.4,6.43333333333333,3.66666666666667,33.617738,2,5.43333333333333,3,0.960229717860761,-111.155212925926,31.1241661481481
"20",2,66817,12.5264705882353,3.96666666666667,4.01818181818182,13.2589037414454,8,7.11960784313725,102,0.688880244319796,-91.8322957037037,18.0818976666667
"21",2,39679,14.2714285714286,3.64571428571429,4.30428571428571,12.0866328,2,5.52285714285714,35,0.65425389597887,-104.869851444445,23.887907037037
"22",2,13407,16.3529411764706,3.67333333333333,0,10.8532769296875,1,5.22941176470588,17,0.485460760745913,-105.752092555555,28.8545556296296
